strategy,model,split,method,corpus_version,chunking_strategy,model_key,model_source,document_index_sha256,document_count,embedding_dimension,normalized,build_seconds,vectors_bytes,model_parameter_bytes,all_gold_hit@1,all_gold_hit@3,all_gold_hit@30,all_gold_hit@5,all_gold_hit@50,candidate_all_gold_recall,candidate_depth_per_source,claim_recall@1,claim_recall@3,claim_recall@30,claim_recall@5,claim_recall@50,mrr@10,ndcg@10,average_query_pipeline_ms,p95_query_pipeline_ms,all_gold_hit@5_ci95_low,all_gold_hit@5_ci95_high,zh_minus_en_all_gold_hit@5,mean_absolute_language_gap@5
fixed_char,bge-small-zh-v1.5,frozen,bm25,2.0.0,fixed_char,bge-small-zh-v1.5,local_override,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,512,True,104.415,3778688,95815680,0.2875,0.4,0.4875,0.4375,0.525,0.525,50.0,0.2875,0.4125,0.49375,0.45,0.525,0.3614583333333333,0.38137431585887305,14.731332505471073,21.941900020465255,0.3375,0.5375,-0.225,0.875
fixed_char,bge-small-zh-v1.5,frozen,vector,2.0.0,fixed_char,bge-small-zh-v1.5,local_override,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,512,True,104.415,3778688,95815680,0.0875,0.225,0.3875,0.25,0.45,0.45,50.0,0.09375,0.23125,0.4,0.25625,0.4625,0.1665079365079365,0.19598106696864792,15.512823750032112,18.378800014033914,0.1625,0.35,0.15,0.45
fixed_char,bge-small-zh-v1.5,frozen,candidate_union,2.0.0,fixed_char,bge-small-zh-v1.5,local_override,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,512,True,104.415,3778688,95815680,0.2875,0.4,0.4875,0.4375,0.525,0.5875,50.0,0.2875,0.4125,0.49375,0.45,0.525,0.3614583333333333,0.38137431585887305,30.650782503653318,41.043999954126775,0.3375,0.5375,-0.225,0.875
fixed_char,bge-small-zh-v1.5,frozen,rrf,2.0.0,fixed_char,bge-small-zh-v1.5,local_override,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,512,True,104.415,3778688,95815680,0.1875,0.3,0.5,0.3,0.5125,0.5875,50.0,0.19375,0.30625,0.5125,0.30625,0.51875,0.26223214285714286,0.28682197078764166,30.638245002774056,41.15440009627491,0.2,0.4,0.0,0.6
fixed_char,bge-small-zh-v1.5,frozen,weighted,2.0.0,fixed_char,bge-small-zh-v1.5,local_override,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,512,True,104.415,3778688,95815680,0.25,0.375,0.5125,0.4375,0.5125,0.5875,50.0,0.25625,0.38125,0.51875,0.44375,0.51875,0.3382291666666667,0.361805260749947,30.6893050117651,41.21409996878356,0.3375,0.5375,-0.225,0.825
fixed_char,bge-small-zh-v1.5,frozen,rrf_expanded,2.0.0,fixed_char,bge-small-zh-v1.5,local_override,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,512,True,104.415,3778688,95815680,0.1625,0.3,0.525,0.3,0.575,0.625,50.0,0.16875,0.30625,0.5375,0.30625,0.58125,0.24973214285714285,0.2809937114048807,30.294858738488983,40.92129995115101,0.2,0.4,0.0,0.6
fixed_char,bge-small-zh-v1.5,frozen,weighted_expanded,2.0.0,fixed_char,bge-small-zh-v1.5,local_override,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,512,True,104.415,3778688,95815680,0.25,0.375,0.525,0.4375,0.575,0.625,50.0,0.25625,0.38125,0.53125,0.44375,0.58125,0.3382291666666667,0.3621991167691189,30.25036624603672,40.887099923565984,0.3375,0.5375,-0.225,0.825
