strategy,model,split,method,corpus_version,chunking_strategy,model_key,model_source,document_index_sha256,document_count,embedding_dimension,normalized,build_seconds,vectors_bytes,model_parameter_bytes,all_gold_hit@1,all_gold_hit@3,all_gold_hit@30,all_gold_hit@5,all_gold_hit@50,candidate_all_gold_recall,candidate_depth_per_source,claim_recall@1,claim_recall@3,claim_recall@30,claim_recall@5,claim_recall@50,mrr@10,ndcg@10,average_query_pipeline_ms,p95_query_pipeline_ms,all_gold_hit@5_ci95_low,all_gold_hit@5_ci95_high,zh_minus_en_all_gold_hit@5,mean_absolute_language_gap@5
fixed_char,bge-small-zh-v1.5,development,vector,2.0.0,fixed_char,bge-small-zh-v1.5,local_override,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,512,True,104.415,3778688,95815680,0.175,0.275,0.5,0.3,0.575,0.575,50.0,0.1875,0.2875,0.5625,0.3375,0.6458333333333334,0.27905753968253966,0.29739138187872666,16.931699999258853,19.48419993277639,0.175,0.45,-0.2,0.4
fixed_char,bge-small-en-v1.5,development,vector,2.0.0,fixed_char,bge-small-en-v1.5,bge-small-en-v1.5,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,384,True,191.819,2834048,133440000,0.225,0.225,0.575,0.225,0.6,0.6,50.0,0.2375,0.25416666666666665,0.6666666666666666,0.25416666666666665,0.6791666666666667,0.2949206349206349,0.32817066431229275,27.642400001059286,38.29410008620471,0.1,0.35,-0.25,0.35
fixed_char,bge-m3,development,vector,2.0.0,fixed_char,bge-m3,bge-m3,3fdbf0b0a1c6747a6aaa4f9f9eadbfa5eafc770d6ffb885e2a00d225601b7089,1845,1024,True,1582.249,7557248,2271019008,0.3,0.525,0.85,0.625,0.925,0.925,50.0,0.3541666666666667,0.6208333333333333,0.9041666666666667,0.7083333333333334,0.9416666666666667,0.5807242063492063,0.597662574547789,201.38091251719743,219.0648999530822,0.475,0.775,-0.05,0.15
recursive_token,bge-small-zh-v1.5,development,vector,2.0.0,recursive_token,bge-small-zh-v1.5,local_override,ec3b78f53beabdc8902e5a3ec65cf2067ab043fbd7501ff4ea2a7d58f2cfcae5,929,512,True,58.418,1902720,95815680,0.075,0.15,0.375,0.2,0.4,0.4,50.0,0.075,0.15,0.38333333333333336,0.21666666666666667,0.42916666666666664,0.13958333333333334,0.16689087709357225,19.466860001557507,29.945099959149957,0.1,0.325,-0.1,0.3
recursive_token,bge-small-en-v1.5,development,vector,2.0.0,recursive_token,bge-small-en-v1.5,bge-small-en-v1.5,ec3b78f53beabdc8902e5a3ec65cf2067ab043fbd7501ff4ea2a7d58f2cfcae5,929,384,True,118.528,1427072,133440000,0.175,0.3,0.625,0.375,0.675,0.675,50.0,0.18333333333333332,0.32916666666666666,0.675,0.4166666666666667,0.7208333333333333,0.31395833333333334,0.3634293129102976,26.374080005916767,29.635599930770695,0.225,0.525,-0.15,0.45
recursive_token,bge-m3,development,vector,2.0.0,recursive_token,bge-m3,bge-m3,ec3b78f53beabdc8902e5a3ec65cf2067ab043fbd7501ff4ea2a7d58f2cfcae5,929,1024,True,1035.559,3805312,2271019008,0.45,0.6,0.9,0.65,0.975,0.975,50.0,0.48333333333333334,0.6625,0.9166666666666666,0.725,0.9916666666666667,0.6488492063492064,0.6562307493632625,197.3197999963304,215.20720003172755,0.5,0.8,0.0,0.0
section_aware,bge-small-zh-v1.5,development,vector,2.0.0,section_aware,bge-small-zh-v1.5,local_override,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,512,True,58.138,1912960,95815680,0.075,0.175,0.525,0.275,0.6,0.6,50.0,0.08333333333333333,0.18333333333333332,0.55,0.3,0.625,0.194375,0.23662926928507508,16.447045005043037,20.27010009624064,0.15,0.425,-0.15,0.35
section_aware,bge-small-en-v1.5,development,vector,2.0.0,section_aware,bge-small-en-v1.5,bge-small-en-v1.5,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,384,True,117.727,1434752,133440000,0.225,0.425,0.7,0.45,0.7,0.7,50.0,0.24166666666666667,0.44166666666666665,0.7416666666666667,0.475,0.75,0.3717261904761905,0.41690214375762746,26.75409500079695,31.366399955004454,0.3,0.6,-0.2,0.4
section_aware,bge-m3,development,vector,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.525,0.7,0.925,0.725,0.975,0.975,50.0,0.5583333333333333,0.7625,0.95,0.7833333333333333,0.9875,0.7202083333333333,0.7119227791257644,195.94143749563955,210.68429993465543,0.575,0.85,-0.15,0.15
